Frequenz Impedanz Phase
7.3797815956e+01 4.0120347131e+00 -176.0692060195
7.4197803956e+01 4.0121450762e+00 -176.0477403052
7.4597791956e+01 4.0122560645e+00 -176.0262718963
7.4997779956e+01 4.0123676787e+00 -176.0048007757
7.5397767955e+01 4.0124799191e+00 -175.9833269265
7.5797755955e+01 4.0125927863e+00 -175.9618503316
7.6197743955e+01 4.0127062808e+00 -175.9403709737
7.6597731955e+01 4.0128204031e+00 -175.9188888357
7.6997719954e+01 4.0129351537e+00 -175.8974039004
7.7397707954e+01 4.0130505331e+00 -175.8759161505
7.7797695954e+01 4.0131665419e+00 -175.8544255686
7.8197683954e+01 4.0132831804e+00 -175.8329321374
7.8597671953e+01 4.0134004494e+00 -175.8114358396
7.8997659953e+01 4.0135183492e+00 -175.7899366575
7.9397647953e+01 4.0136368804e+00 -175.7684345738
7.9797635953e+01 4.0137560436e+00 -175.7469295709
8.0197623952e+01 4.0138758393e+00 -175.7254216312
8.0597611952e+01 4.0139962680e+00 -175.7039107370
8.0997599952e+01 4.0141173303e+00 -175.6823968707
8.1397587952e+01 4.0142390267e+00 -175.6608800145
8.1797575952e+01 4.0143613577e+00 -175.6393601507
8.2197563951e+01 4.0144843240e+00 -175.6178372615
8.2597551951e+01 4.0146079261e+00 -175.5963113288
8.2997539951e+01 4.0147321645e+00 -175.5747823349
8.3397527951e+01 4.0148570398e+00 -175.5532502618
8.3797515950e+01 4.0149825525e+00 -175.5317150914
8.4197503950e+01 4.0151087034e+00 -175.5101768056
8.4597491950e+01 4.0152354928e+00 -175.4886353864
8.4997479950e+01 4.0153629214e+00 -175.4670908156
8.5397467949e+01 4.0154909898e+00 -175.4455430749
8.5797455949e+01 4.0156196986e+00 -175.4239921461
8.6197443949e+01 4.0157490484e+00 -175.4024380109
8.6597431949e+01 4.0158790397e+00 -175.3808806508
8.6997419948e+01 4.0160096731e+00 -175.3593200475
8.7397407948e+01 4.0161409494e+00 -175.3377561825
8.7797395948e+01 4.0162728689e+00 -175.3161890372
8.8197383948e+01 4.0164054325e+00 -175.2946185931
8.8597371947e+01 4.0165386406e+00 -175.2730448316
8.8997359947e+01 4.0166724939e+00 -175.2514677339
8.9397347947e+01 4.0168069931e+00 -175.2298872813
8.9797335947e+01 4.0169421387e+00 -175.2083034550
9.0197323946e+01 4.0170779314e+00 -175.1867162362
9.0597311946e+01 4.0172143718e+00 -175.1651256060
9.0997299946e+01 4.0173514605e+00 -175.1435315453
9.1397287946e+01 4.0174891982e+00 -175.1219340353
9.1797275946e+01 4.0176275856e+00 -175.1003330568
9.2197263945e+01 4.0177666232e+00 -175.0787285906
9.2597251945e+01 4.0179063118e+00 -175.0571206177
9.2997239945e+01 4.0180466520e+00 -175.0355091188
9.3397227945e+01 4.0181876444e+00 -175.0138940745
9.3797215944e+01 4.0183292898e+00 -174.9922754656
9.4197203944e+01 4.0184715888e+00 -174.9706532726
9.4597191944e+01 4.0186145420e+00 -174.9490274761
9.4997179944e+01 4.0187581501e+00 -174.9273980565
9.5397167943e+01 4.0189024139e+00 -174.9057649942
9.5797155943e+01 4.0190473340e+00 -174.8841282696
9.6197143943e+01 4.0191929111e+00 -174.8624878630
9.6597131943e+01 4.0193391459e+00 -174.8408437546
9.6997119942e+01 4.0194860390e+00 -174.8191959247
9.7397107942e+01 4.0196335913e+00 -174.7975443533
9.7797095942e+01 4.0197818034e+00 -174.7758890204
9.8197083942e+01 4.0199306760e+00 -174.7542299061
9.8597071941e+01 4.0200802098e+00 -174.7325669903
9.8997059941e+01 4.0202304056e+00 -174.7109002529
9.9397047941e+01 4.0203812640e+00 -174.6892296736
9.9797035941e+01 4.0205327859e+00 -174.6675552323
1.0019702394e+02 4.0206849719e+00 -174.6458769086
1.0059701194e+02 4.0208378228e+00 -174.6241946821
1.0099699994e+02 4.0209913393e+00 -174.6025085323
1.0139698794e+02 4.0211455221e+00 -174.5808184388
1.0179697594e+02 4.0213003721e+00 -174.5591243810
1.0219696394e+02 4.0214558899e+00 -174.5374263383
1.0259695194e+02 4.0216120764e+00 -174.5157242898
1.0299693994e+02 4.0217689323e+00 -174.4940182149
1.0339692794e+02 4.0219264583e+00 -174.4723080928
1.0379691594e+02 4.0220846553e+00 -174.4505939025
1.0419690394e+02 4.0222435240e+00 -174.4288756230
1.0459689194e+02 4.0224030652e+00 -174.4071532333
1.0499687994e+02 4.0225632797e+00 -174.3854267123
1.0539686794e+02 4.0227241683e+00 -174.3636960388
1.0579685594e+02 4.0228857317e+00 -174.3419611916
1.0619684394e+02 4.0230479709e+00 -174.3202221493
1.0659683194e+02 4.0232108865e+00 -174.2984788906
1.0699681994e+02 4.0233744794e+00 -174.2767313940
1.0739680794e+02 4.0235387504e+00 -174.2549796380
1.0779679594e+02 4.0237037004e+00 -174.2332236010
1.0819678394e+02 4.0238693302e+00 -174.2114632613
1.0859677194e+02 4.0240356405e+00 -174.1896985972
1.0899675994e+02 4.0242026323e+00 -174.1679295869
1.0939674793e+02 4.0243703063e+00 -174.1461562085
1.0979673593e+02 4.0245386634e+00 -174.1243784400
1.1019672393e+02 4.0247077046e+00 -174.1025962594
1.1059671193e+02 4.0248774305e+00 -174.0808096446
1.1099669993e+02 4.0250478421e+00 -174.0590185734
1.1139668793e+02 4.0252189403e+00 -174.0372230235
1.1179667593e+02 4.0253907258e+00 -174.0154229728
1.1219666393e+02 4.0255631997e+00 -173.9936183986
1.1259665193e+02 4.0257363628e+00 -173.9718092786
1.1299663993e+02 4.0259102159e+00 -173.9499955902
1.1339662793e+02 4.0260847599e+00 -173.9281773108
1.1379661593e+02 4.0262599959e+00 -173.9063544176
1.1419660393e+02 4.0264359245e+00 -173.8845268878
1.1459659193e+02 4.0266125468e+00 -173.8626946987
1.1499657993e+02 4.0267898637e+00 -173.8408578272
1.1539656793e+02 4.0269678761e+00 -173.8190162503
1.1579655593e+02 4.0271465849e+00 -173.7971699450
1.1619654393e+02 4.0273259910e+00 -173.7753188880
1.1659653193e+02 4.0275060954e+00 -173.7534630560
1.1699651993e+02 4.0276868990e+00 -173.7316024258
1.1739650793e+02 4.0278684027e+00 -173.7097369738
1.1779649593e+02 4.0280506076e+00 -173.6878666767
1.1819648393e+02 4.0282335145e+00 -173.6659915107
1.1859647193e+02 4.0284171244e+00 -173.6441114522
1.1899645993e+02 4.0286014383e+00 -173.6222264775
1.1939644793e+02 4.0287864572e+00 -173.6003365626
1.1979643593e+02 4.0289721820e+00 -173.5784416838
1.2019642393e+02 4.0291586137e+00 -173.5565418169
1.2059641193e+02 4.0293457533e+00 -173.5346369379
1.2099639993e+02 4.0295336019e+00 -173.5127270225
1.2139638793e+02 4.0297221603e+00 -173.4908120466
1.2179637593e+02 4.0299114297e+00 -173.4688919856
1.2219636393e+02 4.0301014109e+00 -173.4469668153
1.2259635193e+02 4.0302921051e+00 -173.4250365111
1.2299633993e+02 4.0304835133e+00 -173.4031010483
1.2339632793e+02 4.0306756364e+00 -173.3811604023
1.2379631593e+02 4.0308684756e+00 -173.3592145481
1.2419630393e+02 4.0310620319e+00 -173.3372634610
1.2459629193e+02 4.0312563062e+00 -173.3153071160
1.2499627993e+02 4.0314512998e+00 -173.2933454879
1.2539626793e+02 4.0316470135e+00 -173.2713785517
1.2579625593e+02 4.0318434486e+00 -173.2494062820
1.2619624392e+02 4.0320406060e+00 -173.2274286536
1.2659623192e+02 4.0322384869e+00 -173.2054456409
1.2699621992e+02 4.0324370923e+00 -173.1834572184
1.2739620792e+02 4.0326364233e+00 -173.1614633605
1.2779619592e+02 4.0328364810e+00 -173.1394640416
1.2819618392e+02 4.0330372665e+00 -173.1174592356
1.2859617192e+02 4.0332387810e+00 -173.0954489168
1.2899615992e+02 4.0334410255e+00 -173.0734330592
1.2939614792e+02 4.0336440012e+00 -173.0514116365
1.2979613592e+02 4.0338477092e+00 -173.0293846227
1.3019612392e+02 4.0340521506e+00 -173.0073519913
1.3059611192e+02 4.0342573265e+00 -172.9853137160
1.3099609992e+02 4.0344632382e+00 -172.9632697704
1.3139608792e+02 4.0346698867e+00 -172.9412201277
1.3179607592e+02 4.0348772733e+00 -172.9191647612
1.3219606392e+02 4.0350853991e+00 -172.8971036443
1.3259605192e+02 4.0352942652e+00 -172.8750367499
1.3299603992e+02 4.0355038729e+00 -172.8529640510
1.3339602792e+02 4.0357142234e+00 -172.8308855206
1.3379601592e+02 4.0359253177e+00 -172.8088011314
1.3419600392e+02 4.0361371573e+00 -172.7867108561
1.3459599192e+02 4.0363497431e+00 -172.7646146673
1.3499597992e+02 4.0365630766e+00 -172.7425125374
1.3539596792e+02 4.0367771588e+00 -172.7204044389
1.3579595592e+02 4.0369919910e+00 -172.6982903439
1.3619594392e+02 4.0372075745e+00 -172.6761702246
1.3659593192e+02 4.0374239104e+00 -172.6540440530
1.3699591992e+02 4.0376410001e+00 -172.6319118012
1.3739590792e+02 4.0378588448e+00 -172.6097734408
1.3779589592e+02 4.0380774458e+00 -172.5876289437
1.3819588392e+02 4.0382968043e+00 -172.5654782815
1.3859587192e+02 4.0385169216e+00 -172.5433214255
1.3899585992e+02 4.0387377991e+00 -172.5211583473
1.3939584792e+02 4.0389594379e+00 -172.4989890180
1.3979583592e+02 4.0391818394e+00 -172.4768134089
1.4019582392e+02 4.0394050050e+00 -172.4546314910
1.4059581192e+02 4.0396289358e+00 -172.4324432352
1.4099579992e+02 4.0398536334e+00 -172.4102486123
1.4139578792e+02 4.0400790988e+00 -172.3880475931
1.4179577592e+02 4.0403053337e+00 -172.3658401480
1.4219576392e+02 4.0405323391e+00 -172.3436262477
1.4259575192e+02 4.0407601166e+00 -172.3214058623
1.4299573991e+02 4.0409886675e+00 -172.2991789623
1.4339572791e+02 4.0412179931e+00 -172.2769455176
1.4379571591e+02 4.0414480949e+00 -172.2547054983
1.4419570391e+02 4.0416789742e+00 -172.2324588743
1.4459569191e+02 4.0419106324e+00 -172.2102056152
1.4499567991e+02 4.0421430709e+00 -172.1879456908
1.4539566791e+02 4.0423762911e+00 -172.1656790705
1.4579565591e+02 4.0426102945e+00 -172.1434057237
1.4619564391e+02 4.0428450824e+00 -172.1211256197
1.4659563191e+02 4.0430806564e+00 -172.0988387277
1.4699561991e+02 4.0433170177e+00 -172.0765450166
1.4739560791e+02 4.0435541680e+00 -172.0542444553
1.4779559591e+02 4.0437921087e+00 -172.0319370126
1.4819558391e+02 4.0440308411e+00 -172.0096226571
1.4859557191e+02 4.0442703669e+00 -171.9873013574
1.4899555991e+02 4.0445106874e+00 -171.9649730817
1.4939554791e+02 4.0447518042e+00 -171.9426377984
1.4979553591e+02 4.0449937188e+00 -171.9202954756
1.5019552391e+02 4.0452364327e+00 -171.8979460812
1.5059551191e+02 4.0454799474e+00 -171.8755895831
1.5099549991e+02 4.0457242644e+00 -171.8532259490
1.5139548791e+02 4.0459693853e+00 -171.8308551466
1.5179547591e+02 4.0462153116e+00 -171.8084771432
1.5219546391e+02 4.0464620448e+00 -171.7860919063
1.5259545191e+02 4.0467095867e+00 -171.7636994028
1.5299543991e+02 4.0469579386e+00 -171.7412996001
1.5339542791e+02 4.0472071022e+00 -171.7188924648
1.5379541591e+02 4.0474570791e+00 -171.6964779638
1.5419540391e+02 4.0477078708e+00 -171.6740560638
1.5459539191e+02 4.0479594791e+00 -171.6516267312
1.5499537991e+02 4.0482119054e+00 -171.6291899324
1.5539536791e+02 4.0484651515e+00 -171.6067456336
1.5579535591e+02 4.0487192190e+00 -171.5842938009
1.5619534391e+02 4.0489741095e+00 -171.5618344001
1.5659533191e+02 4.0492298246e+00 -171.5393673971
1.5699531991e+02 4.0494863661e+00 -171.5168927576
1.5739530791e+02 4.0497437356e+00 -171.4944104469
1.5779529591e+02 4.0500019349e+00 -171.4719204305
1.5819528391e+02 4.0502609655e+00 -171.4494226736
1.5859527191e+02 4.0505208292e+00 -171.4269171411
1.5899525991e+02 4.0507815277e+00 -171.4044037981
1.5939524790e+02 4.0510430628e+00 -171.3818826092
1.5979523590e+02 4.0513054361e+00 -171.3593535391
1.6019522390e+02 4.0515686494e+00 -171.3368165522
1.6059521190e+02 4.0518327046e+00 -171.3142716128
1.6099519990e+02 4.0520976033e+00 -171.2917186851
1.6139518790e+02 4.0523633472e+00 -171.2691577330
1.6179517590e+02 4.0526299383e+00 -171.2465887205
1.6219516390e+02 4.0528973783e+00 -171.2240116111
1.6259515190e+02 4.0531656690e+00 -171.2014263684
1.6299513990e+02 4.0534348122e+00 -171.1788329557
1.6339512790e+02 4.0537048098e+00 -171.1562313363
1.6379511590e+02 4.0539756635e+00 -171.1336214733
1.6419510390e+02 4.0542473753e+00 -171.1110033294
1.6459509190e+02 4.0545199470e+00 -171.0883768675
1.6499507990e+02 4.0547933804e+00 -171.0657420501
1.6539506790e+02 4.0550676775e+00 -171.0430988395
1.6579505590e+02 4.0553428402e+00 -171.0204471981
1.6619504390e+02 4.0556188703e+00 -170.9977870879
1.6659503190e+02 4.0558957697e+00 -170.9751184708
1.6699501990e+02 4.0561735405e+00 -170.9524413085
1.6739500790e+02 4.0564521845e+00 -170.9297555626
1.6779499590e+02 4.0567317036e+00 -170.9070611945
1.6819498390e+02 4.0570120999e+00 -170.8843581655
1.6859497190e+02 4.0572933753e+00 -170.8616464365
1.6899495990e+02 4.0575755318e+00 -170.8389259685
1.6939494790e+02 4.0578585714e+00 -170.8161967222
1.6979493590e+02 4.0581424961e+00 -170.7934586582
1.7019492390e+02 4.0584273079e+00 -170.7707117367
1.7059491190e+02 4.0587130089e+00 -170.7479559180
1.7099489990e+02 4.0589996010e+00 -170.7251911620
1.7139488790e+02 4.0592870864e+00 -170.7024174287
1.7179487590e+02 4.0595754672e+00 -170.6796346776
1.7219486390e+02 4.0598647453e+00 -170.6568428683
1.7259485190e+02 4.0601549229e+00 -170.6340419600
1.7299483990e+02 4.0604460021e+00 -170.6112319117
1.7339482790e+02 4.0607379850e+00 -170.5884126826
1.7379481590e+02 4.0610308737e+00 -170.5655842312
1.7419480390e+02 4.0613246705e+00 -170.5427465161
1.7459479190e+02 4.0616193774e+00 -170.5198994957
1.7499477990e+02 4.0619149965e+00 -170.4970431282
1.7539476790e+02 4.0622115302e+00 -170.4741773715
1.7579475590e+02 4.0625089805e+00 -170.4513021834
1.7619474389e+02 4.0628073498e+00 -170.4284175216
1.7659473189e+02 4.0631066401e+00 -170.4055233435
1.7699471989e+02 4.0634068538e+00 -170.3826196062
1.7739470789e+02 4.0637079931e+00 -170.3597062668
1.7779469589e+02 4.0640100602e+00 -170.3367832821
1.7819468389e+02 4.0643130575e+00 -170.3138506087
1.7859467189e+02 4.0646169871e+00 -170.2909082031
