Frequenz Impedanz Phase
4.6198643973e+01 4.0111124569e+00 3.5566404522
4.6598631973e+01 4.0112741541e+00 3.5878732539
4.6998619972e+01 4.0114373599e+00 3.6191177138
4.7398607972e+01 4.0116020772e+00 3.6503739448
4.7798595972e+01 4.0117683094e+00 3.6816420603
4.8198583972e+01 4.0119360594e+00 3.7129221740
4.8598571971e+01 4.0121053307e+00 3.7442143998
4.8998559971e+01 4.0122761263e+00 3.7755188523
4.9398547971e+01 4.0124484496e+00 3.8068356460
4.9798535971e+01 4.0126223039e+00 3.8381648962
5.0198523970e+01 4.0127976926e+00 3.8695067184
5.0598511970e+01 4.0129746190e+00 3.9008612283
5.0998499970e+01 4.0131530866e+00 3.9322285423
5.1398487970e+01 4.0133330988e+00 3.9636087770
5.1798475970e+01 4.0135146591e+00 3.9950020493
5.2198463969e+01 4.0136977710e+00 4.0264084767
5.2598451969e+01 4.0138824382e+00 4.0578281770
5.2998439969e+01 4.0140686641e+00 4.0892612683
5.3398427969e+01 4.0142564526e+00 4.1207078693
5.3798415968e+01 4.0144458071e+00 4.1521680988
5.4198403968e+01 4.0146367315e+00 4.1836420764
5.4598391968e+01 4.0148292295e+00 4.2151299219
5.4998379968e+01 4.0150233049e+00 4.2466317554
5.5398367967e+01 4.0152189615e+00 4.2781476976
5.5798355967e+01 4.0154162031e+00 4.3096778697
5.6198343967e+01 4.0156150338e+00 4.3412223931
5.6598331967e+01 4.0158154573e+00 4.3727813897
5.6998319966e+01 4.0160174778e+00 4.4043549819
5.7398307966e+01 4.0162210992e+00 4.4359432927
5.7798295966e+01 4.0164263256e+00 4.4675464451
5.8198283966e+01 4.0166331611e+00 4.4991645630
5.8598271965e+01 4.0168416098e+00 4.5307977705
5.8998259965e+01 4.0170516759e+00 4.5624461922
5.9398247965e+01 4.0172633637e+00 4.5941099533
5.9798235965e+01 4.0174766773e+00 4.6257891793
6.0198223964e+01 4.0176916212e+00 4.6574839962
6.0598211964e+01 4.0179081996e+00 4.6891945306
6.0998199964e+01 4.0181264169e+00 4.7209209094
6.1398187964e+01 4.0183462776e+00 4.7526632602
6.1798175964e+01 4.0185677861e+00 4.7844217108
6.2198163963e+01 4.0187909470e+00 4.8161963898
6.2598151963e+01 4.0190157648e+00 4.8479874261
6.2998139963e+01 4.0192422440e+00 4.8797949493
6.3398127963e+01 4.0194703895e+00 4.9116190891
6.3798115962e+01 4.0197002058e+00 4.9434599762
6.4198103962e+01 4.0199316976e+00 4.9753177416
6.4598091962e+01 4.0201648698e+00 5.0071925167
6.4998079962e+01 4.0203997272e+00 5.0390844337
6.5398067961e+01 4.0206362746e+00 5.0709936251
6.5798055961e+01 4.0208745170e+00 5.1029202241
6.6198043961e+01 4.0211144593e+00 5.1348643642
6.6598031961e+01 4.0213561065e+00 5.1668261798
6.6998019960e+01 4.0215994637e+00 5.1988058056
6.7398007960e+01 4.0218445360e+00 5.2308033769
6.7797995960e+01 4.0220913285e+00 5.2628190296
6.8197983960e+01 4.0223398464e+00 5.2948529001
6.8597971959e+01 4.0225900950e+00 5.3269051254
6.8997959959e+01 4.0228420795e+00 5.3589758432
6.9397947959e+01 4.0230958053e+00 5.3910651917
6.9797935959e+01 4.0233512778e+00 5.4231733095
7.0197923958e+01 4.0236085024e+00 5.4553003361
7.0597911958e+01 4.0238674846e+00 5.4874464114
7.0997899958e+01 4.0241282300e+00 5.5196116760
7.1397887958e+01 4.0243907441e+00 5.5517962709
7.1797875958e+01 4.0246550325e+00 5.5840003381
7.2197863957e+01 4.0249211011e+00 5.6162240198
7.2597851957e+01 4.0251889555e+00 5.6484674592
7.2997839957e+01 4.0254586015e+00 5.6807307999
7.3397827957e+01 4.0257300449e+00 5.7130141860
7.3797815956e+01 4.0260032917e+00 5.7453177627
7.4197803956e+01 4.0262783479e+00 5.7776416754
7.4597791956e+01 4.0265552194e+00 5.8099860703
7.4997779956e+01 4.0268339123e+00 5.8423510944
7.5397767955e+01 4.0271144327e+00 5.8747368951
7.5797755955e+01 4.0273967868e+00 5.9071436208
7.6197743955e+01 4.0276809808e+00 5.9395714202
7.6597731955e+01 4.0279670211e+00 5.9720204430
7.6997719954e+01 4.0282549140e+00 6.0044908393
7.7397707954e+01 4.0285446658e+00 6.0369827602
7.7797695954e+01 4.0288362830e+00 6.0694963572
7.8197683954e+01 4.0291297722e+00 6.1020317828
7.8597671953e+01 4.0294251399e+00 6.1345891899
7.8997659953e+01 4.0297223928e+00 6.1671687324
7.9397647953e+01 4.0300215376e+00 6.1997705647
7.9797635953e+01 4.0303225809e+00 6.2323948421
8.0197623952e+01 4.0306255297e+00 6.2650417205
8.0597611952e+01 4.0309303909e+00 6.2977113565
8.0997599952e+01 4.0312371712e+00 6.3304039078
8.1397587952e+01 4.0315458779e+00 6.3631195324
8.1797575952e+01 4.0318565179e+00 6.3958583892
8.2197563951e+01 4.0321690983e+00 6.4286206382
8.2597551951e+01 4.0324836263e+00 6.4614064396
8.2997539951e+01 4.0328001093e+00 6.4942159548
8.3397527951e+01 4.0331185545e+00 6.5270493459
8.3797515950e+01 4.0334389694e+00 6.5599067757
8.4197503950e+01 4.0337613613e+00 6.5927884079
8.4597491950e+01 4.0340857378e+00 6.6256944070
8.4997479950e+01 4.0344121064e+00 6.6586249381
8.5397467949e+01 4.0347404749e+00 6.6915801674
8.5797455949e+01 4.0350708510e+00 6.7245602618
8.6197443949e+01 4.0354032425e+00 6.7575653891
8.6597431949e+01 4.0357376571e+00 6.7905957179
8.6997419948e+01 4.0360741030e+00 6.8236514176
8.7397407948e+01 4.0364125880e+00 6.8567326584
8.7797395948e+01 4.0367531202e+00 6.8898396117
8.8197383948e+01 4.0370957078e+00 6.9229724493
8.8597371947e+01 4.0374403591e+00 6.9561313442
8.8997359947e+01 4.0377870822e+00 6.9893164703
8.9397347947e+01 4.0381358857e+00 7.0225280020
8.9797335947e+01 4.0384867778e+00 7.0557661152
9.0197323946e+01 4.0388397672e+00 7.0890309861
9.0597311946e+01 4.0391948625e+00 7.1223227923
9.0997299946e+01 4.0395520723e+00 7.1556417120
9.1397287946e+01 4.0399114053e+00 7.1889879246
9.1797275946e+01 4.0402728705e+00 7.2223616102
9.2197263945e+01 4.0406364766e+00 7.2557629498
9.2597251945e+01 4.0410022328e+00 7.2891921257
9.2997239945e+01 4.0413701480e+00 7.3226493209
9.3397227945e+01 4.0417402315e+00 7.3561347194
9.3797215944e+01 4.0421124924e+00 7.3896485061
9.4197203944e+01 4.0424869401e+00 7.4231908671
9.4597191944e+01 4.0428635840e+00 7.4567619894
9.4997179944e+01 4.0432424336e+00 7.4903620608
9.5397167943e+01 4.0436234983e+00 7.5239912705
9.5797155943e+01 4.0440067880e+00 7.5576498083
9.6197143943e+01 4.0443923123e+00 7.5913378654
9.6597131943e+01 4.0447800810e+00 7.6250556338
9.6997119942e+01 4.0451701041e+00 7.6588033067
9.7397107942e+01 4.0455623916e+00 7.6925810781
9.7797095942e+01 4.0459569537e+00 7.7263891433
9.8197083942e+01 4.0463538003e+00 7.7602276986
9.8597071941e+01 4.0467529420e+00 7.7940969414
9.8997059941e+01 4.0471543890e+00 7.8279970702
9.9397047941e+01 4.0475581517e+00 7.8619282845
9.9797035941e+01 4.0479642409e+00 7.8958907850
1.0019702394e+02 4.0483726671e+00 7.9298847735
1.0059701194e+02 4.0487834410e+00 7.9639104528
1.0099699994e+02 4.0491965736e+00 7.9979680272
1.0139698794e+02 4.0496120758e+00 8.0320577016
1.0179697594e+02 4.0500299586e+00 8.0661796826
1.0219696394e+02 4.0504502332e+00 8.1003341775
1.0259695194e+02 4.0508729108e+00 8.1345213952
1.0299693994e+02 4.0512980028e+00 8.1687415454
1.0339692794e+02 4.0517255207e+00 8.2029948393
1.0379691594e+02 4.0521554760e+00 8.2372814890
1.0419690394e+02 4.0525878804e+00 8.2716017081
1.0459689194e+02 4.0530227456e+00 8.3059557112
1.0499687994e+02 4.0534600836e+00 8.3403437144
1.0539686794e+02 4.0538999062e+00 8.3747659347
1.0579685594e+02 4.0543422258e+00 8.4092225907
1.0619684394e+02 4.0547870543e+00 8.4437139019
1.0659683194e+02 4.0552344042e+00 8.4782400895
1.0699681994e+02 4.0556842879e+00 8.5128013756
1.0739680794e+02 4.0561367180e+00 8.5473979838
1.0779679594e+02 4.0565917070e+00 8.5820301390
1.0819678394e+02 4.0570492679e+00 8.6166980673
1.0859677194e+02 4.0575094134e+00 8.6514019962
1.0899675994e+02 4.0579721567e+00 8.6861421547
1.0939674793e+02 4.0584375107e+00 8.7209187730
1.0979673593e+02 4.0589054889e+00 8.7557320824
1.1019672393e+02 4.0593761046e+00 8.7905823162
1.1059671193e+02 4.0598493713e+00 8.8254697085
1.1099669993e+02 4.0603253026e+00 8.8603944950
1.1139668793e+02 4.0608039122e+00 8.8953569130
1.1179667593e+02 4.0612852142e+00 8.9303572010
1.1219666393e+02 4.0617692224e+00 8.9653955989
1.1259665193e+02 4.0622559510e+00 9.0004723483
1.1299663993e+02 4.0627454143e+00 9.0355876919
1.1339662793e+02 4.0632376268e+00 9.0707418742
1.1379661593e+02 4.0637326029e+00 9.1059351411
1.1419660393e+02 4.0642303573e+00 9.1411677397
1.1459659193e+02 4.0647309048e+00 9.1764399191
1.1499657993e+02 4.0652342605e+00 9.2117519295
1.1539656793e+02 4.0657404393e+00 9.2471040230
1.1579655593e+02 4.0662494566e+00 9.2824964528
1.1619654393e+02 4.0667613277e+00 9.3179294740
1.1659653193e+02 4.0672760682e+00 9.3534033433
1.1699651993e+02 4.0677936937e+00 9.3889183187
1.1739650793e+02 4.0683142199e+00 9.4244746600
1.1779649593e+02 4.0688376630e+00 9.4600726286
1.1819648393e+02 4.0693640391e+00 9.4957124874
1.1859647193e+02 4.0698933643e+00 9.5313945012
1.1899645993e+02 4.0704256551e+00 9.5671189363
1.1939644793e+02 4.0709609282e+00 9.6028860604
1.1979643593e+02 4.0714992002e+00 9.6386961434
1.2019642393e+02 4.0720404880e+00 9.6745494565
1.2059641193e+02 4.0725848088e+00 9.7104462728
1.2099639993e+02 4.0731321797e+00 9.7463868671
1.2139638793e+02 4.0736826181e+00 9.7823715157
1.2179637593e+02 4.0742361416e+00 9.8184004971
1.2219636393e+02 4.0747927679e+00 9.8544740913
1.2259635193e+02 4.0753525150e+00 9.8905925799
1.2299633993e+02 4.0759154007e+00 9.9267562468
1.2339632793e+02 4.0764814435e+00 9.9629653772
1.2379631593e+02 4.0770506618e+00 9.9992202584
1.2419630393e+02 4.0776230740e+00 10.0355211796
1.2459629193e+02 4.0781986990e+00 10.0718684316
1.2499627993e+02 4.0787775558e+00 10.1082623074
1.2539626793e+02 4.0793596635e+00 10.1447031016
1.2579625593e+02 4.0799450414e+00 10.1811911109
1.2619624392e+02 4.0805337091e+00 10.2177266339
1.2659623192e+02 4.0811256861e+00 10.2543099709
1.2699621992e+02 4.0817209925e+00 10.2909414246
1.2739620792e+02 4.0823196484e+00 10.3276212993
1.2779619592e+02 4.0829216739e+00 10.3643499014
1.2819618392e+02 4.0835270897e+00 10.4011275394
1.2859617192e+02 4.0841359163e+00 10.4379545238
1.2899615992e+02 4.0847481748e+00 10.4748311670
1.2939614792e+02 4.0853638861e+00 10.5117577836
1.2979613592e+02 4.0859830715e+00 10.5487346902
1.3019612392e+02 4.0866057527e+00 10.5857622056
1.3059611192e+02 4.0872319513e+00 10.6228406506
1.3099609992e+02 4.0878616893e+00 10.6599703482
1.3139608792e+02 4.0884949889e+00 10.6971516236
1.3179607592e+02 4.0891318723e+00 10.7343848039
1.3219606392e+02 4.0897723623e+00 10.7716702188
1.3259605192e+02 4.0904164816e+00 10.8090081998
1.3299603992e+02 4.0910642534e+00 10.8463990810
1.3339602792e+02 4.0917157008e+00 10.8838431984
1.3379601592e+02 4.0923708475e+00 10.9213408905
1.3419600392e+02 4.0930297172e+00 10.9588924979
1.3459599192e+02 4.0936923339e+00 10.9964983638
1.3499597992e+02 4.0943587218e+00 11.0341588334
1.3539596792e+02 4.0950289054e+00 11.0718742544
1.3579595592e+02 4.0957029095e+00 11.1096449769
1.3619594392e+02 4.0963807590e+00 11.1474713532
1.3659593192e+02 4.0970624793e+00 11.1853537381
1.3699591992e+02 4.0977480956e+00 11.2232924890
1.3739590792e+02 4.0984376340e+00 11.2612879654
1.3779589592e+02 4.0991311202e+00 11.2993405297
1.3819588392e+02 4.0998285807e+00 11.3374505463
1.3859587192e+02 4.1005300420e+00 11.3756183825
1.3899585992e+02 4.1012355309e+00 11.4138444079
1.3939584792e+02 4.1019450745e+00 11.4521289947
1.3979583592e+02 4.1026587002e+00 11.4904725179
1.4019582392e+02 4.1033764356e+00 11.5288753547
1.4059581192e+02 4.1040983088e+00 11.5673378853
1.4099579992e+02 4.1048243478e+00 11.6058604923
1.4139578792e+02 4.1055545814e+00 11.6444435609
1.4179577592e+02 4.1062890382e+00 11.6830874794
1.4219576392e+02 4.1070277475e+00 11.7217926383
1.4259575192e+02 4.1077707386e+00 11.7605594311
1.4299573991e+02 4.1085180414e+00 11.7993882542
1.4339572791e+02 4.1092696857e+00 11.8382795065
1.4379571591e+02 4.1100257021e+00 11.8772335898
1.4419570391e+02 4.1107861212e+00 11.9162509087
1.4459569191e+02 4.1115509739e+00 11.9553318709
1.4499567991e+02 4.1123202917e+00 11.9944768866
1.4539566791e+02 4.1130941062e+00 12.0336863692
1.4579565591e+02 4.1138724494e+00 12.0729607350
