Freq.	V(n001)/I(V1)
1.21996639932799e+01	-4.00210373889637e+00,-4.06616500674609e-02
1.25996519930399e+01	-4.00211068352350e+00,-4.19977688832495e-02
1.29996399927999e+01	-4.00211785509391e+00,-4.33341741337918e-02
1.33996279925598e+01	-4.00212525388747e+00,-4.46708750138945e-02
1.37996159923198e+01	-4.00213288019305e+00,-4.60078807277618e-02
1.41996039920798e+01	-4.00214073430853e+00,-4.73452004891506e-02
1.45995919918398e+01	-4.00214881654075e+00,-4.86828435227242e-02
1.49995799915998e+01	-4.00215712720566e+00,-5.00208190627885e-02
1.53995679913598e+01	-4.00216566662822e+00,-5.13591363551567e-02
1.57995559911198e+01	-4.00217443514251e+00,-5.26978046563412e-02
1.61995439908798e+01	-4.00218343309170e+00,-5.40368332342259e-02
1.65995319906398e+01	-4.00219266082813e+00,-5.53762313683392e-02
1.69995199903998e+01	-4.00220211871326e+00,-5.67160083505833e-02
1.73995079901598e+01	-4.00221180711777e+00,-5.80561734847126e-02
1.77994959899198e+01	-4.00222172642155e+00,-5.93967360871211e-02
1.81994839896798e+01	-4.00223187701373e+00,-6.07377054876288e-02
1.85994719894398e+01	-4.00224225929273e+00,-6.20790910286780e-02
1.89994599891998e+01	-4.00225287366625e+00,-6.34209020665768e-02
1.93994479889598e+01	-4.00226372055135e+00,-6.47631479713773e-02
1.97994359887198e+01	-4.00227480037444e+00,-6.61058381273244e-02
2.01994239884798e+01	-4.00228611357133e+00,-6.74489819331343e-02
2.05994119882398e+01	-4.00229766058725e+00,-6.87925888024997e-02
2.09993999879998e+01	-4.00230944187692e+00,-7.01366681638013e-02
2.13993879877598e+01	-4.00232145790453e+00,-7.14812294612972e-02
2.17993759875198e+01	-4.00233370914380e+00,-7.28262821546071e-02
2.21993639872798e+01	-4.00234619607803e+00,-7.41718357197902e-02
2.25993519870398e+01	-4.00235891920013e+00,-7.55178996488869e-02
2.29993399867998e+01	-4.00237187901261e+00,-7.68644834509974e-02
2.33993279865598e+01	-4.00238507602770e+00,-7.82115966519968e-02
2.37993159863198e+01	-4.00239851076732e+00,-7.95592487953296e-02
2.41993039860798e+01	-4.00241218376315e+00,-8.09074494419535e-02
2.45992919858397e+01	-4.00242609555668e+00,-8.22562081707377e-02
2.49992799855997e+01	-4.00244024669920e+00,-8.36055345791474e-02
2.53992679853597e+01	-4.00245463775190e+00,-8.49554382831317e-02
2.57992559851197e+01	-4.00246926928589e+00,-8.63059289175814e-02
2.61992439848797e+01	-4.00248414188222e+00,-8.76570161369588e-02
2.65992319846397e+01	-4.00249925613197e+00,-8.90087096149027e-02
2.69992199843997e+01	-4.00251461263625e+00,-9.03610190456008e-02
2.73992079841597e+01	-4.00253021200627e+00,-9.17139541430817e-02
2.77991959839197e+01	-4.00254605486339e+00,-9.30675246423335e-02
2.81991839836797e+01	-4.00256214183915e+00,-9.44217402992245e-02
2.85991719834397e+01	-4.00257847357531e+00,-9.57766108908811e-02
2.89991599831997e+01	-4.00259505072395e+00,-9.71321462161820e-02
2.93991479829597e+01	-4.00261187394746e+00,-9.84883560960232e-02
2.97991359827197e+01	-4.00262894391860e+00,-9.98452503736417e-02
3.01991239824797e+01	-4.00264626132060e+00,-1.01202838914998e-01
3.05991119822397e+01	-4.00266382684715e+00,-1.02561131609043e-01
3.09990999819997e+01	-4.00268164120248e+00,-1.03920138368162e-01
3.13990879817597e+01	-4.00269970510145e+00,-1.05279869128500e-01
3.17990759815197e+01	-4.00271801926951e+00,-1.06640333850344e-01
3.21990639812797e+01	-4.00273658444286e+00,-1.08001542518231e-01
3.25990519810397e+01	-4.00275540136845e+00,-1.09363505141788e-01
3.29990399807997e+01	-4.00277447080403e+00,-1.10726231755578e-01
3.33990279805597e+01	-4.00279379351823e+00,-1.12089732419862e-01
3.37990159803197e+01	-4.00281337029064e+00,-1.13454017220618e-01
3.41990039800797e+01	-4.00283320191182e+00,-1.14819096270277e-01
3.45989919798396e+01	-4.00285328918339e+00,-1.16184979707541e-01
3.49989799795996e+01	-4.00287363291809e+00,-1.17551677698578e-01
3.53989679793596e+01	-4.00289423393983e+00,-1.18919200436480e-01
3.57989559791196e+01	-4.00291509308378e+00,-1.20287558142220e-01
3.61989439788796e+01	-4.00293621119642e+00,-1.21656761064860e-01
3.65989319786396e+01	-4.00295758913558e+00,-1.23026819481884e-01
3.69989199783996e+01	-4.00297922777055e+00,-1.24397743699661e-01
3.73989079781596e+01	-4.00300112798214e+00,-1.25769544053727e-01
3.77988959779196e+01	-4.00302329066270e+00,-1.27142230909278e-01
3.81988839776796e+01	-4.00304571671625e+00,-1.28515814661396e-01
3.85988719774396e+01	-4.00306840705855e+00,-1.29890305735517e-01
3.89988599771996e+01	-4.00309136261709e+00,-1.31265714588003e-01
3.93988479769596e+01	-4.00311458433128e+00,-1.32642051706154e-01
3.97988359767196e+01	-4.00313807315244e+00,-1.34019327608899e-01
4.01988239764796e+01	-4.00316183004389e+00,-1.35397552847009e-01
4.05988119762395e+01	-4.00318585598105e+00,-1.36776738003704e-01
4.09987999759995e+01	-4.00321015195150e+00,-1.38156893694760e-01
4.13987879757595e+01	-4.00323471895506e+00,-1.39538030569196e-01
4.17987759755195e+01	-4.00325955800388e+00,-1.40920159309447e-01
4.21987639752795e+01	-4.00328467012248e+00,-1.42303290631971e-01
4.25987519750395e+01	-4.00331005634790e+00,-1.43687435287471e-01
4.29987399747995e+01	-4.00333571772971e+00,-1.45072604061431e-01
4.33987279745595e+01	-4.00336165533015e+00,-1.46458807774479e-01
4.37987159743195e+01	-4.00338787022417e+00,-1.47846057282836e-01
4.41987039740795e+01	-4.00341436349956e+00,-1.49234363478664e-01
4.45986919738395e+01	-4.00344113625701e+00,-1.50623737290454e-01
4.49986799735995e+01	-4.00346818961019e+00,-1.52014189683688e-01
4.53986679733595e+01	-4.00349552468585e+00,-1.53405731661097e-01
4.57986559731195e+01	-4.00352314262393e+00,-1.54798374262978e-01
4.61986439728795e+01	-4.00355104457762e+00,-1.56192128567711e-01
4.65986319726394e+01	-4.00357923171348e+00,-1.57587005692426e-01
4.69986199723994e+01	-4.00360770521150e+00,-1.58983016793064e-01
4.73986079721594e+01	-4.00363646626524e+00,-1.60380173064993e-01
4.77985959719194e+01	-4.00366551608188e+00,-1.61778485743613e-01
4.81985839716794e+01	-4.00369485588237e+00,-1.63177966104430e-01
4.85985719714394e+01	-4.00372448690148e+00,-1.64578625463787e-01
4.89985599711994e+01	-4.00375441038793e+00,-1.65980475179281e-01
4.93985479709594e+01	-4.00378462760447e+00,-1.67383526650149e-01
4.97985359707194e+01	-4.00381513982801e+00,-1.68787791317810e-01
5.01985239704794e+01	-4.00384594834971e+00,-1.70193280666113e-01
5.05985119702394e+01	-4.00387705447509e+00,-1.71600006222078e-01
5.09984999699994e+01	-4.00390845952411e+00,-1.73007979556266e-01
5.13984879697594e+01	-4.00394016483135e+00,-1.74417212283150e-01
5.17984759695194e+01	-4.00397217174602e+00,-1.75827716061691e-01
5.21984639692794e+01	-4.00400448163215e+00,-1.77239502595840e-01
5.25984519690393e+01	-4.00403709586870e+00,-1.78652583634908e-01
5.29984399687993e+01	-4.00407001584961e+00,-1.80066970974069e-01
5.33984279685593e+01	-4.00410324298399e+00,-1.81482676455005e-01
5.37984159683193e+01	-4.00413677869619e+00,-1.82899711966202e-01
5.41984039680793e+01	-4.00417062442594e+00,-1.84318089443596e-01
5.45983919678393e+01	-4.00420478162847e+00,-1.85737820870895e-01
5.49983799675993e+01	-4.00423925177461e+00,-1.87158918280278e-01
5.53983679673593e+01	-4.00427403635094e+00,-1.88581393752798e-01
5.57983559671193e+01	-4.00430913685992e+00,-1.90005259418844e-01
5.61983439668793e+01	-4.00434455481998e+00,-1.91430527458744e-01
5.65983319666393e+01	-4.00438029176568e+00,-1.92857210103308e-01
5.69983199663993e+01	-4.00441634924784e+00,-1.94285319634264e-01
5.73983079661593e+01	-4.00445272883365e+00,-1.95714868384705e-01
5.77982959659193e+01	-4.00448943210681e+00,-1.97145868739886e-01
5.81982839656793e+01	-4.00452646066769e+00,-1.98578333137492e-01
5.85982719654392e+01	-4.00456381613343e+00,-2.00012274068344e-01
5.89982599651992e+01	-4.00460150013810e+00,-2.01447704076837e-01
5.93982479649592e+01	-4.00463951433284e+00,-2.02884635761525e-01
5.97982359647192e+01	-4.00467786038600e+00,-2.04323081775683e-01
6.01982239644792e+01	-4.00471653998327e+00,-2.05763054827864e-01
6.05982119642392e+01	-4.00475555482785e+00,-2.07204567682416e-01
6.09981999639992e+01	-4.00479490664056e+00,-2.08647633160063e-01
6.13981879637592e+01	-4.00483459716004e+00,-2.10092264138564e-01
6.17981759635192e+01	-4.00487462814287e+00,-2.11538473553061e-01
6.21981639632792e+01	-4.00491500136371e+00,-2.12986274396904e-01
6.25981519630392e+01	-4.00495571861549e+00,-2.14435679722114e-01
6.29981399627992e+01	-4.00499678170953e+00,-2.15886702639955e-01
6.33981279625592e+01	-4.00503819247573e+00,-2.17339356321572e-01
6.37981159623192e+01	-4.00507995276274e+00,-2.18793653998488e-01
6.41981039620792e+01	-4.00512206443804e+00,-2.20249608963376e-01
6.45980919618392e+01	-4.00516452938823e+00,-2.21707234570560e-01
6.49980799615992e+01	-4.00520734951911e+00,-2.23166544236551e-01
6.53980679613592e+01	-4.00525052675584e+00,-2.24627551440846e-01
6.57980559611192e+01	-4.00529406304319e+00,-2.26090269726379e-01
6.61980439608792e+01	-4.00533796034565e+00,-2.27554712700243e-01
6.65980319606392e+01	-4.00538222064760e+00,-2.29020894034266e-01
6.69980199603992e+01	-4.00542684595354e+00,-2.30488827465706e-01
6.73980079601592e+01	-4.00547183828822e+00,-2.31958526797836e-01
6.77979959599192e+01	-4.00551719969684e+00,-2.33430005900652e-01
6.81979839596792e+01	-4.00556293224525e+00,-2.34903278711401e-01
6.85979719594392e+01	-4.00560903802010e+00,-2.36378359235439e-01
6.89979599591992e+01	-4.00565551912908e+00,-2.37855261546678e-01
6.93979479589592e+01	-4.00570237770104e+00,-2.39333999788411e-01
6.97979359587192e+01	-4.00574961588627e+00,-2.40814588173954e-01
7.01979239584792e+01	-4.00579723585663e+00,-2.42297040987246e-01
7.05979119582392e+01	-4.00584523980575e+00,-2.43781372583659e-01
7.09978999579992e+01	-4.00589362994930e+00,-2.45267597390571e-01
7.13978879577592e+01	-4.00594240852511e+00,-2.46755729908112e-01
7.17978759575192e+01	-4.00599157779342e+00,-2.48245784709955e-01
7.21978639572792e+01	-4.00604114003707e+00,-2.49737776443890e-01
7.25978519570392e+01	-4.00609109756174e+00,-2.51231719832608e-01
