Freq.	V(n001)/I(V1)
1.08239507901580e+04	-2.67943773801692e+01,7.97342645435278e+00
1.09259691938388e+04	-2.67784209899252e+01,7.90069836687379e+00
1.10279875975195e+04	-2.67628987075728e+01,7.82926946710088e+00
1.11300060012003e+04	-2.67477949862146e+01,7.75910567647801e+00
1.12320244048810e+04	-2.67330949661746e+01,7.69017408243447e+00
1.13340428085617e+04	-2.67187844390011e+01,7.62244288965381e+00
1.14360612122425e+04	-2.67048498136412e+01,7.55588137372696e+00
1.15380796159232e+04	-2.66912780846411e+01,7.49045983705718e+00
1.16400980196039e+04	-2.66780568022329e+01,7.42614956689290e+00
1.17421164232847e+04	-2.66651740441836e+01,7.36292279537107e+00
1.18441348269654e+04	-2.66526183892880e+01,7.30075266146217e+00
1.19461532306461e+04	-2.66403788923965e+01,7.23961317471337e+00
1.20481716343269e+04	-2.66284450608792e+01,7.17947918069346e+00
1.21501900380076e+04	-2.66168068324317e+01,7.12032632804815e+00
1.22522084416884e+04	-2.66054545541356e+01,7.06213103708075e+00
1.23542268453691e+04	-2.65943789626957e+01,7.00487046977721e+00
1.24562452490498e+04	-2.65835711657769e+01,6.94852250120002e+00
1.25582636527306e+04	-2.65730226243728e+01,6.89306569217966e+00
1.26602820564113e+04	-2.65627251361418e+01,6.83847926323623e+00
1.27623004600920e+04	-2.65526708196494e+01,6.78474306966818e+00
1.28643188637728e+04	-2.65428520994624e+01,6.73183757774827e+00
1.29663372674535e+04	-2.65332616920424e+01,6.67974384197059e+00
1.30683556711343e+04	-2.65238925923895e+01,6.62844348329571e+00
1.31703740748150e+04	-2.65147380613918e+01,6.57791866834360e+00
1.32723924784957e+04	-2.65057916138391e+01,6.52815208948733e+00
1.33744108821765e+04	-2.64970470070593e+01,6.47912694580269e+00
1.34764292858572e+04	-2.64884982301432e+01,6.43082692483191e+00
1.35784476895379e+04	-2.64801394937218e+01,6.38323618512131e+00
1.36804660932187e+04	-2.64719652202646e+01,6.33633933949537e+00
1.37824844968994e+04	-2.64639700348685e+01,6.29012143903176e+00
1.38845029005801e+04	-2.64561487565100e+01,6.24456795770345e+00
1.39865213042609e+04	-2.64484963897328e+01,6.19966477765633e+00
1.40885397079416e+04	-2.64410081167485e+01,6.15539817509172e+00
1.41905581116224e+04	-2.64336792899245e+01,6.11175480672590e+00
1.42925765153031e+04	-2.64265054246403e+01,6.06872169679899e+00
1.43945949189838e+04	-2.64194821924897e+01,6.02628622460804e+00
1.44966133226646e+04	-2.64126054148105e+01,5.98443611253977e+00
1.45986317263453e+04	-2.64058710565252e+01,5.94315941458014e+00
1.47006501300260e+04	-2.63992752202727e+01,5.90244450527879e+00
1.48026685337068e+04	-2.63928141408194e+01,5.86228006914785e+00
1.49046869373875e+04	-2.63864841797310e+01,5.82265509047531e+00
1.50067053410683e+04	-2.63802818202934e+01,5.78355884353430e+00
1.51087237447490e+04	-2.63742036626689e+01,5.74498088317081e+00
1.52107421484297e+04	-2.63682464192752e+01,5.70691103575284e+00
1.53127605521105e+04	-2.63624069103758e+01,5.66933939046504e+00
1.54147789557912e+04	-2.63566820598708e+01,5.63225629093377e+00
1.55167973594719e+04	-2.63510688912776e+01,5.59565232716798e+00
1.56188157631527e+04	-2.63455645238920e+01,5.55951832780261e+00
1.57208341668334e+04	-2.63401661691206e+01,5.52384535263074e+00
1.58228525705141e+04	-2.63348711269755e+01,5.48862468541290e+00
1.59248709741949e+04	-2.63296767827236e+01,5.45384782695114e+00
1.60268893778756e+04	-2.63245806036821e+01,5.41950648841691e+00
1.61289077815564e+04	-2.63195801361539e+01,5.38559258492195e+00
1.62309261852371e+04	-2.63146730024949e+01,5.35209822932202e+00
1.63329445889178e+04	-2.63098568983083e+01,5.31901572624372e+00
1.64349629925986e+04	-2.63051295897573e+01,5.28633756632527e+00
1.65369813962793e+04	-2.63004889109933e+01,5.25405642066214e+00
1.66389997999600e+04	-2.62959327616916e+01,5.22216513544967e+00
1.67410182036408e+04	-2.62914591046913e+01,5.19065672681383e+00
1.68430366073215e+04	-2.62870659637328e+01,5.15952437582339e+00
1.69450550110023e+04	-2.62827514212901e+01,5.12876142367544e+00
1.70470734146830e+04	-2.62785136164913e+01,5.09836136704775e+00
1.71490918183637e+04	-2.62743507431253e+01,5.06831785361112e+00
1.72511102220445e+04	-2.62702610477296e+01,5.03862467769538e+00
1.73531286257252e+04	-2.62662428277547e+01,5.00927577610312e+00
1.74551470294059e+04	-2.62622944298038e+01,4.98026522406505e+00
1.75571654330867e+04	-2.62584142479418e+01,4.95158723133177e+00
1.76591838367674e+04	-2.62546007220724e+01,4.92323613839649e+00
1.77612022404481e+04	-2.62508523363794e+01,4.89520641284362e+00
1.78632206441289e+04	-2.62471676178291e+01,4.86749264581846e+00
1.79652390478096e+04	-2.62435451347313e+01,4.84008954861330e+00
1.80672574514904e+04	-2.62399834953572e+01,4.81299194936558e+00
1.81692758551711e+04	-2.62364813466097e+01,4.78619478986375e+00
1.82712942588518e+04	-2.62330373727458e+01,4.75969312245680e+00
1.83733126625326e+04	-2.62296502941475e+01,4.73348210706378e+00
1.84753310662133e+04	-2.62263188661398e+01,4.70755700827920e+00
1.85773494698940e+04	-2.62230418778533e+01,4.68191319257103e+00
1.86793678735748e+04	-2.62198181511302e+01,4.65654612556792e+00
1.87813862772555e+04	-2.62166465394704e+01,4.63145136943210e+00
1.88834046809363e+04	-2.62135259270179e+01,4.60662458031506e+00
1.89854230846170e+04	-2.62104552275843e+01,4.58206150589301e+00
1.90874414882977e+04	-2.62074333837086e+01,4.55775798297889e+00
1.91894598919785e+04	-2.62044593657510e+01,4.53370993520873e+00
1.92914782956592e+04	-2.62015321710210e+01,4.50991337079919e+00
1.93934966993399e+04	-2.61986508229356e+01,4.48636438037406e+00
1.94955151030207e+04	-2.61958143702094e+01,4.46305913485714e+00
1.95975335067014e+04	-2.61930218860729e+01,4.43999388342908e+00
1.96995519103821e+04	-2.61902724675194e+01,4.41716495154622e+00
1.98015703140629e+04	-2.61875652345782e+01,4.39456873901895e+00
1.99035887177436e+04	-2.61848993296138e+01,4.37220171814756e+00
2.00056071214244e+04	-2.61822739166502e+01,4.35006043191392e+00
2.01076255251051e+04	-2.61796881807182e+01,4.32814149222656e+00
2.02096439287858e+04	-2.61771413272260e+01,4.30644157821775e+00
2.03116623324666e+04	-2.61746325813515e+01,4.28495743459050e+00
2.04136807361473e+04	-2.61721611874553e+01,4.26368587001409e+00
2.05156991398280e+04	-2.61697264085151e+01,4.24262375556604e+00
2.06177175435088e+04	-2.61673275255775e+01,4.22176802321951e+00
2.07197359471895e+04	-2.61649638372306e+01,4.20111566437416e+00
2.08217543508703e+04	-2.61626346590925e+01,4.18066372842915e+00
2.09237727545510e+04	-2.61603393233189e+01,4.16040932139715e+00
2.10257911582317e+04	-2.61580771781260e+01,4.14034960455746e+00
2.11278095619125e+04	-2.61558475873295e+01,4.12048179314744e+00
2.12298279655932e+04	-2.61536499298996e+01,4.10080315509085e+00
2.13318463692739e+04	-2.61514835995300e+01,4.08131100976179e+00
2.14338647729547e+04	-2.61493480042217e+01,4.06200272678301e+00
2.15358831766354e+04	-2.61472425658798e+01,4.04287572485812e+00
2.16379015803161e+04	-2.61451667199242e+01,4.02392747063544e+00
2.17399199839969e+04	-2.61431199149124e+01,4.00515547760367e+00
2.18419383876776e+04	-2.61411016121749e+01,3.98655730501774e+00
2.19439567913584e+04	-2.61391112854616e+01,3.96813055685377e+00
