zero_absz,zero_frequency,zero_phasez,one_absz,one_frequency,one_phasez,two_absz,two_frequency,two_phasez,three_absz,three_frequency,three_phasez,four_absz,four_frequency,four_phasez,five_absz,five_frequency,five_phasez
996.456,9.99999997475243,0.003757692133163942,99.9152,9.99999997475243,0.0016693698318931665,1006030,9.99999997475243,-0.012676347442592386,99.9074,9.99999997475243,-0.3682944059211175,40.3606,9.99999997475243,0.7557198726216532,3.92806,19.9999999495049,1.0918054560894914
996.425,10.0217069842756,0.00333732445803236,99.9173,10.0217069842756,0.0022967528879834667,1006030,10.0217069842756,-0.01283797883659879,99.9062,10.0217069842756,-0.3689871118954307,40.36,10.0217069842756,0.7569803797709409,3.92009,20.0276556938661,1.0954838451342315
996.45,10.0434611027822,0.0036422984332245946,99.9166,10.0434611027822,0.0019497811064081428,1006020,10.0434611027822,-0.012664258033115125,99.9062,10.0434611027822,-0.3695675181418982,40.3603,10.0434611027822,0.7586820644224795,3.90976,20.0553495943723,1.1007951638950941
996.453,10.065262543435,0.003475367179613229,99.915,10.065262543435,0.0016584779042077297,1006020,10.065262543435,-0.012936642168920319,99.9048,10.065262543435,-0.37000812268635386,40.3604,10.065262543435,0.7602233208913814,3.9016,20.0830816510234,1.1032875303039131
996.46,10.087111306234,0.0027972143332963867,99.914,10.087111306234,0.0015033782290658159,1006030,10.087111306234,-0.012195693148257138,99.9046,10.087111306234,-0.37089792614219197,40.3605,10.087111306234,0.7621541886609724,3.90285,20.110852290145,1.1057627079788783
996.438,10.1090073911792,0.0036975716717208653,99.9158,10.1090073911792,0.0020979651809628274,1006040,10.1090073911792,-0.012867314275709488,99.9056,10.1090073911792,-0.3718564845334459,40.3609,10.1090073911792,0.7640220310730989,3.90004,20.1386612985743,1.1080545391594017
996.429,10.1309510114334,0.0036019106382458228,99.9156,10.1309510114334,0.0014343540034864055,1006030,10.1309510114334,-0.01281454486277794,99.9043,10.1309510114334,-0.3725858598066474,40.3616,10.1309510114334,0.765288267800338,3.90272,20.1665086763114,1.1098937336817716
996.432,10.1529421669966,0.0033913257302234405,99.9149,10.1529421669966,0.0015875514587484851,1006020,10.1529421669966,-0.012991818004591418,99.9047,10.1529421669966,-0.37365041539000043,40.3614,10.1529421669966,0.7668810904708017,3.89959,20.1943944233562,1.1114235309947709
996.409,10.1749812841945,0.003509526923358929,99.9165,10.1749812841945,0.0018432682522933226,1006040,10.1749812841945,-0.01275100384329793,99.9047,10.1749812841945,-0.37431218164337654,40.3622,10.1749812841945,0.7681415976200895,3.89448,20.2223189660344,1.1153883989370763
996.429,10.1970681498642,0.003125398828769371,99.9168,10.1970681498642,0.001444976641008131,1006030,10.1970681498642,-0.012635782030697124,99.9052,10.1970681498642,-0.37551252822417563,40.3614,10.1970681498642,0.7701297611691934,3.89033,20.2502820911832,1.117949520281311
996.429,10.2192029771686,0.003408222255601848,99.9173,10.2192029771686,0.0023907695325864836,1006030,10.2192029771686,-0.013232746757443929,99.9029,10.2192029771686,-0.37600928263255406,40.3625,10.2192029771686,0.7716538289042414,3.88946,20.2782837988025,1.1191355429172318
996.431,10.2413857661077,0.003964678866232904,99.9167,10.2413857661077,0.002046805779435596,1006030,10.2413857661077,-0.013271306817056232,99.9055,10.2413857661077,-0.3770618061022094,40.362,10.2413857661077,0.7734815642707088,3.88734,20.3063243020552,1.1205622078271074
996.438,10.2636167298442,0.0037013531931687285,99.9168,10.2636167298442,0.0016391806856677234,1006030,10.2636167298442,-0.012474838186044876,99.9057,10.2636167298442,-0.37809026534446927,40.3622,10.2636167298442,0.7750571982073186,3.88237,20.3344033877784,1.1241088165789672
996.443,10.2858960815411,0.0040501412509546175,99.9154,10.2858960815411,0.0017379185025026185,1006050,10.2858960815411,-0.012986145722419622,99.9046,10.2858960815411,-0.37807479548400064,40.3622,10.2858960815411,0.7769823363989582,3.87963,20.3625214822978,1.125907904055678
996.435,10.3082236080354,0.004066384604446576,99.9163,10.3082236080354,0.0019064941449860092,1006030,10.3082236080354,-0.01269594259918586,99.9042,10.3082236080354,-0.3793135302370735,40.3622,10.3082236080354,0.778896015434695,3.87844,20.3906783724506,1.1274835379922878
996.446,10.3305997356529,0.0036452262475577136,99.9182,10.3305997356529,0.0021182937235340693,1006050,10.3305997356529,-0.012754957252084333,99.9034,10.3305997356529,-0.3804055877945929,40.3626,10.3305997356529,0.7801909000516906,3.87877,20.4188742713996,1.1292826254689987
996.436,10.3530244643935,0.0033233901244547784,99.9168,10.3530244643935,0.0018585604958453643,1006040,10.3530244643935,-0.013084980942079688,99.9039,10.3530244643935,-0.3810977208111109,40.3619,10.3530244643935,0.7820129058402067,3.87955,20.4471091791447,1.1305775100859945
996.438,10.3754977942572,0.003368413147996158,99.916,10.3754977942572,0.0018775769650657564,1006030,10.3754977942572,-0.012960248030079708,99.9063,10.3754977942572,-0.381671824521832,40.3621,10.3754977942572,0.7835427031532061,3.87814,20.4753830956861,1.1326286989925627
996.458,10.3980199384068,0.003361085017796435,99.9164,10.3980199384068,0.0011306462650214099,1006030,10.3980199384068,-0.013052723418213823,99.9046,10.3980199384068,-0.382942071953637,40.3616,10.3980199384068,0.7853417906299167,3.87747,20.5036960210236,1.1350924175116253
996.442,10.4205908968424,0.0030239165440958,99.9134,10.4205908968424,0.0020938341552599344,1006060,10.4205908968424,-0.013719016038171458,99.904,10.4205908968424,-0.3836829063827412,40.3629,10.4205908968424,0.7875476781411704,3.87687,20.5320481683202,1.136834209208823
996.438,10.4432108827268,0.003402790615704008,99.9147,10.4432108827268,0.0022310002514142535,1006030,10.4432108827268,-0.012972280143777458,99.9037,10.4432108827268,-0.3841269486739675,40.3617,10.4432108827268,0.7887050528873347,3.87624,20.5604395375758,1.1379572064872794
996.437,10.46587989606,0.0033230234314658947,99.9142,10.46587989606,0.001835951581249502,1006040,10.46587989606,-0.013284542142123754,99.9044,10.46587989606,-0.38476465069994814,40.3612,10.46587989606,0.7904124671168246,3.87277,20.5888701287904,1.1404266545842932
996.424,10.4885983631675,0.003239944551171925,99.9142,10.4885983631675,0.0032147630560759254,1006020,10.4885983631675,-0.012923005773396204,99.9048,10.4885983631675,-0.38629616688633284,40.3615,10.4885983631675,0.7918563207605541,3.87185,20.6173401551268,1.1420882321901726
996.423,10.5113658577238,0.0032555691102451427,99.915,10.5113658577238,0.0014397913729621969,1006020,10.5113658577238,-0.012828238554081566,99.9058,10.5113658577238,-0.3855799696424193,40.3618,10.5113658577238,0.7937585406403886,3.87496,20.6458494034223,1.1421283392358317
996.418,10.5341830192174,0.003101896100013105,99.9165,10.5341830192174,0.0020687557925670582,1006030,10.5341830192174,-0.012657267948014531,99.9065,10.5341830192174,-0.3882654228281975,40.3621,10.5341830192174,0.7947784055157214,3.8738,20.6743980868396,1.1451535563941224
996.463,10.5570496344853,0.0036444584841122383,99.9156,10.5570496344853,0.001981459942900926,1006040,10.5570496344853,-0.01333759803395287,99.9061,10.5570496344853,-0.3877915867316243,40.362,10.5570496344853,0.7969900226049264,3.87055,20.7029864185415,1.1477433256281138
996.464,10.5799657035277,0.0036975086463634007,99.9153,10.5799657035277,0.0017866600221343974,1006040,10.5799657035277,-0.01286513703608799,99.9053,10.5799657035277,-0.3888584341461579,40.3622,10.5799657035277,0.7985713861194875,3.86813,20.7316141853653,1.151834244285348
996.449,10.6029316526701,0.0038557710485344365,99.9166,10.6029316526701,0.002690701479181567,1006050,10.6029316526701,-0.013128812213407197,99.9065,10.6029316526701,-0.3906208523239803,40.3627,10.6029316526701,0.8005480905126888,3.86921,20.7602813873109,1.1501211004779068
996.43,10.6259474819126,0.003306768618818033,99.9138,10.6259474819126,0.0020360971982446015,1006050,10.6259474819126,-0.01315362128593636,99.9082,10.6259474819126,-0.39105228954371385,40.362,10.6259474819126,0.8025305244838415,3.8679,20.788988450704,1.1528483795827296
996.436,10.6490131912551,0.003704865424452881,99.9177,10.6490131912551,0.0017273818086501625,1006030,10.6490131912551,-0.012997891357219803,99.9049,10.6490131912551,-0.39217872456894104,40.3617,10.6490131912551,0.8039228119260093,3.86959,20.8177349492189,1.1542521261808
