Freq.	V(n001)/I(V1)
2.51065273054612e+04	-9.99999974115265e-04,1.57748959238938e-07
2.52085457091419e+04	-9.99999973912620e-04,1.58389959724676e-07
2.53105641128227e+04	-9.99999973709153e-04,1.59030960210025e-07
2.54125825165034e+04	-9.99999973504865e-04,1.59671960694981e-07
2.55146009201841e+04	-9.99999973299754e-04,1.60312961179543e-07
2.56166193238649e+04	-9.99999973093822e-04,1.60953961663710e-07
2.57186377275456e+04	-9.99999972887067e-04,1.61594962147481e-07
2.58206561312264e+04	-9.99999972679492e-04,1.62235962630853e-07
2.59226745349071e+04	-9.99999972471094e-04,1.62876963113825e-07
2.60246929385878e+04	-9.99999972261875e-04,1.63517963596396e-07
2.61267113422686e+04	-9.99999972051834e-04,1.64158964078563e-07
2.62287297459493e+04	-9.99999971840971e-04,1.64799964560326e-07
2.63307481496300e+04	-9.99999971629286e-04,1.65440965041682e-07
2.64327665533108e+04	-9.99999971416780e-04,1.66081965522631e-07
2.65347849569915e+04	-9.99999971203452e-04,1.66722966003170e-07
2.66368033606722e+04	-9.99999970989302e-04,1.67363966483298e-07
2.67388217643530e+04	-9.99999970774330e-04,1.68004966963014e-07
2.68408401680337e+04	-9.99999970558537e-04,1.68645967442315e-07
2.69428585717145e+04	-9.99999970341922e-04,1.69286967921201e-07
2.70448769753952e+04	-9.99999970124484e-04,1.69927968399669e-07
2.71468953790759e+04	-9.99999969906226e-04,1.70568968877718e-07
2.72489137827567e+04	-9.99999969687146e-04,1.71209969355347e-07
2.73509321864374e+04	-9.99999969467243e-04,1.71850969832554e-07
2.74529505901181e+04	-9.99999969246519e-04,1.72491970309337e-07
2.75549689937989e+04	-9.99999969024973e-04,1.73132970785695e-07
2.76569873974796e+04	-9.99999968802606e-04,1.73773971261626e-07
2.77590058011604e+04	-9.99999968579417e-04,1.74414971737128e-07
2.78610242048411e+04	-9.99999968355406e-04,1.75055972212201e-07
2.79630426085218e+04	-9.99999968130573e-04,1.75696972686842e-07
2.80650610122026e+04	-9.99999967904918e-04,1.76337973161050e-07
2.81670794158833e+04	-9.99999967678442e-04,1.76978973634823e-07
2.82690978195640e+04	-9.99999967451144e-04,1.77619974108160e-07
2.83711162232448e+04	-9.99999967223024e-04,1.78260974581059e-07
2.84731346269255e+04	-9.99999966994082e-04,1.78901975053519e-07
2.85751530306062e+04	-9.99999966764319e-04,1.79542975525537e-07
2.86771714342870e+04	-9.99999966533734e-04,1.80183975997113e-07
2.87791898379677e+04	-9.99999966302327e-04,1.80824976468245e-07
2.88812082416485e+04	-9.99999966070098e-04,1.81465976938931e-07
2.89832266453292e+04	-9.99999965837048e-04,1.82106977409169e-07
2.90852450490099e+04	-9.99999965603175e-04,1.82747977878959e-07
2.91872634526907e+04	-9.99999965368481e-04,1.83388978348298e-07
2.92892818563714e+04	-9.99999965132966e-04,1.84029978817185e-07
2.93913002600521e+04	-9.99999964896628e-04,1.84670979285618e-07
2.94933186637329e+04	-9.99999964659469e-04,1.85311979753596e-07
2.95953370674136e+04	-9.99999964421488e-04,1.85952980221117e-07
2.96973554710944e+04	-9.99999964182685e-04,1.86593980688180e-07
2.97993738747751e+04	-9.99999963943060e-04,1.87234981154782e-07
2.99013922784558e+04	-9.99999963702614e-04,1.87875981620924e-07
3.00034106821366e+04	-9.99999963461346e-04,1.88516982086602e-07
3.01054290858173e+04	-9.99999963219256e-04,1.89157982551815e-07
3.02074474894980e+04	-9.99999962976345e-04,1.89798983016562e-07
3.03094658931788e+04	-9.99999962732611e-04,1.90439983480840e-07
3.04114842968595e+04	-9.99999962488056e-04,1.91080983944650e-07
3.05135027005402e+04	-9.99999962242679e-04,1.91721984407988e-07
3.06155211042210e+04	-9.99999961996481e-04,1.92362984870854e-07
3.07175395079017e+04	-9.99999961749460e-04,1.93003985333246e-07
3.08195579115825e+04	-9.99999961501618e-04,1.93644985795161e-07
3.09215763152632e+04	-9.99999961252954e-04,1.94285986256600e-07
3.10235947189439e+04	-9.99999961003468e-04,1.94926986717559e-07
3.11256131226247e+04	-9.99999960753161e-04,1.95567987178038e-07
3.12276315263054e+04	-9.99999960502032e-04,1.96208987638034e-07
3.13296499299861e+04	-9.99999960250081e-04,1.96849988097547e-07
3.14316683336669e+04	-9.99999959997308e-04,1.97490988556575e-07
3.15336867373476e+04	-9.99999959743713e-04,1.98131989015116e-07
3.16357051410284e+04	-9.99999959489297e-04,1.98772989473168e-07
3.17377235447091e+04	-9.99999959234059e-04,1.99413989930731e-07
3.18397419483898e+04	-9.99999958977999e-04,2.00054990387801e-07
3.19417603520706e+04	-9.99999958721118e-04,2.00695990844379e-07
3.20437787557513e+04	-9.99999958463414e-04,2.01336991300461e-07
3.21457971594320e+04	-9.99999958204889e-04,2.01977991756048e-07
3.22478155631128e+04	-9.99999957945542e-04,2.02618992211136e-07
3.23498339667935e+04	-9.99999957685374e-04,2.03259992665725e-07
3.24518523704742e+04	-9.99999957424383e-04,2.03900993119813e-07
3.25538707741550e+04	-9.99999957162571e-04,2.04541993573398e-07
3.26558891778357e+04	-9.99999956899937e-04,2.05182994026479e-07
3.27579075815165e+04	-9.99999956636482e-04,2.05823994479054e-07
3.28599259851972e+04	-9.99999956372204e-04,2.06464994931122e-07
3.29619443888779e+04	-9.99999956107105e-04,2.07105995382680e-07
3.30639627925587e+04	-9.99999955841184e-04,2.07746995833728e-07
3.31659811962394e+04	-9.99999955574441e-04,2.08387996284264e-07
3.32679995999201e+04	-9.99999955306876e-04,2.09028996734286e-07
3.33700180036009e+04	-9.99999955038491e-04,2.09669997183793e-07
3.34720364072816e+04	-9.99999954769282e-04,2.10310997632783e-07
3.35740548109623e+04	-9.99999954499253e-04,2.10951998081255e-07
3.36760732146431e+04	-9.99999954228401e-04,2.11592998529206e-07
3.37780916183238e+04	-9.99999953956728e-04,2.12233998976636e-07
3.38801100220045e+04	-9.99999953684232e-04,2.12874999423542e-07
3.39821284256853e+04	-9.99999953410916e-04,2.13515999869924e-07
3.40841468293660e+04	-9.99999953136777e-04,2.14157000315779e-07
3.41861652330467e+04	-9.99999952861817e-04,2.14798000761107e-07
3.42881836367275e+04	-9.99999952586035e-04,2.15439001205905e-07
3.43902020404082e+04	-9.99999952309431e-04,2.16080001650171e-07
3.44922204440889e+04	-9.99999952032005e-04,2.16721002093905e-07
3.45942388477697e+04	-9.99999951753758e-04,2.17362002537105e-07
3.46962572514504e+04	-9.99999951474688e-04,2.18003002979769e-07
3.47982756551311e+04	-9.99999951194797e-04,2.18644003421896e-07
3.49002940588119e+04	-9.99999950914085e-04,2.19285003863483e-07
3.50023124624926e+04	-9.99999950632550e-04,2.19926004304530e-07
3.51043308661733e+04	-9.99999950350194e-04,2.20567004745035e-07
3.52063492698541e+04	-9.99999950067016e-04,2.21208005184995e-07
3.53083676735348e+04	-9.99999949783016e-04,2.21849005624411e-07
3.54103860772155e+04	-9.99999949498195e-04,2.22490006063280e-07
3.55124044808963e+04	-9.99999949212551e-04,2.23131006501600e-07
3.56144228845770e+04	-9.99999948926086e-04,2.23772006939370e-07
3.57164412882577e+04	-9.99999948638800e-04,2.24413007376588e-07
3.58184596919385e+04	-9.99999948350691e-04,2.25054007813253e-07
3.59204780956192e+04	-9.99999948061760e-04,2.25695008249364e-07
3.60224964992999e+04	-9.99999947772008e-04,2.26336008684918e-07
3.61245149029807e+04	-9.99999947481435e-04,2.26977009119913e-07
3.62265333066614e+04	-9.99999947190039e-04,2.27618009554350e-07
3.63285517103421e+04	-9.99999946897822e-04,2.28259009988225e-07
3.64305701140229e+04	-9.99999946604782e-04,2.28900010421538e-07
3.65325885177036e+04	-9.99999946310921e-04,2.29541010854286e-07
3.66346069213843e+04	-9.99999946016239e-04,2.30182011286468e-07
3.67366253250651e+04	-9.99999945720734e-04,2.30823011718083e-07
3.68386437287458e+04	-9.99999945424408e-04,2.31464012149129e-07
3.69406621324265e+04	-9.99999945127260e-04,2.32105012579604e-07
3.70426805361073e+04	-9.99999944829290e-04,2.32746013009507e-07
3.71446989397880e+04	-9.99999944530499e-04,2.33387013438836e-07
3.72467173434687e+04	-9.99999944230886e-04,2.34028013867590e-07
3.73487357471495e+04	-9.99999943930451e-04,2.34669014295767e-07
3.74507541508302e+04	-9.99999943629194e-04,2.35310014723365e-07
3.75527725545109e+04	-9.99999943327115e-04,2.35951015150383e-07
3.76547909581917e+04	-9.99999943024215e-04,2.36592015576820e-07
3.77568093618724e+04	-9.99999942720493e-04,2.37233016002673e-07
3.78588277655531e+04	-9.99999942415949e-04,2.37874016427942e-07
3.79608461692339e+04	-9.99999942110583e-04,2.38515016852624e-07
3.80628645729146e+04	-9.99999941804396e-04,2.39156017276718e-07
3.81648829765953e+04	-9.99999941497387e-04,2.39797017700222e-07
3.82669013802761e+04	-9.99999941189556e-04,2.40438018123135e-07
3.83689197839568e+04	-9.99999940880903e-04,2.41079018545456e-07
3.84709381876375e+04	-9.99999940571429e-04,2.41720018967182e-07
3.85729565913183e+04	-9.99999940261133e-04,2.42361019388312e-07
3.86749749949990e+04	-9.99999939950015e-04,2.43002019808845e-07
3.87769933986797e+04	-9.99999939638075e-04,2.43643020228779e-07
3.88790118023605e+04	-9.99999939325314e-04,2.44284020648112e-07
3.89810302060412e+04	-9.99999939011730e-04,2.44925021066842e-07
3.90830486097219e+04	-9.99999938697325e-04,2.45566021484969e-07
3.91850670134027e+04	-9.99999938382099e-04,2.46207021902491e-07
3.92870854170834e+04	-9.99999938066050e-04,2.46848022319406e-07
3.93891038207641e+04	-9.99999937749180e-04,2.47489022735712e-07
3.94911222244449e+04	-9.99999937431488e-04,2.48130023151408e-07
3.95931406281256e+04	-9.99999937112974e-04,2.48771023566492e-07
3.96951590318063e+04	-9.99999936793638e-04,2.49412023980963e-07
3.97971774354871e+04	-9.99999936473481e-04,2.50053024394819e-07
3.98991958391678e+04	-9.99999936152502e-04,2.50694024808059e-07
4.00012142428485e+04	-9.99999935830701e-04,2.51335025220680e-07
4.01032326465292e+04	-9.99999935508078e-04,2.51976025632682e-07
4.02052510502100e+04	-9.99999935184634e-04,2.52617026044063e-07
4.03072694538907e+04	-9.99999934860368e-04,2.53258026454821e-07
4.04092878575714e+04	-9.99999934535280e-04,2.53899026864955e-07
4.05113062612522e+04	-9.99999934209370e-04,2.54540027274462e-07
4.06133246649329e+04	-9.99999933882639e-04,2.55181027683342e-07
4.07153430686136e+04	-9.99999933555086e-04,2.55822028091594e-07
4.08173614722944e+04	-9.99999933226710e-04,2.56463028499214e-07
4.09193798759751e+04	-9.99999932897514e-04,2.57104028906202e-07
4.10213982796558e+04	-9.99999932567495e-04,2.57745029312556e-07
4.11234166833366e+04	-9.99999932236655e-04,2.58386029718275e-07
4.12254350870173e+04	-9.99999931904993e-04,2.59027030123357e-07
4.13274534906980e+04	-9.99999931572509e-04,2.59668030527801e-07
4.14294718943788e+04	-9.99999931239204e-04,2.60309030931604e-07
4.15314902980595e+04	-9.99999930905076e-04,2.60950031334765e-07
4.16335087017402e+04	-9.99999930570127e-04,2.61591031737283e-07
4.17355271054210e+04	-9.99999930234356e-04,2.62232032139157e-07
